S#,SNAME,SEX,BDATE,HEIGHT,DORM
02000194,党峰,男,2003-05-22,1.81,东2舍125
02200196,查秀英,女,2001-10-31,1.58,西2舍125
02000198,高丹丹,男,2001-09-05,1.88,东2舍125
02200200,赵建华,女,2002-07-29,1.54,西2舍126
02000202,杨军,男,2002-09-22,1.68,东2舍126
02200204,董秀荣,女,2001-05-02,1.53,西2舍126
02000206,王丽娟,男,2001-07-29,1.89,东2舍126
02200208,刘宇,女,2001-06-24,1.59,西2舍127
02000210,张静,男,2001-04-28,1.62,东2舍127
02200212,纪桂芳,女,2001-07-30,1.58,西2舍127
02000214,李莹,男,2003-08-05,1.87,东2舍127
02200216,农刚,女,2002-06-28,1.79,西2舍128
02000218,陈艳,男,2002-04-06,1.71,东2舍128
02200220,彭桂芝,女,2001-08-09,1.74,西2舍128
02000222,白伟,男,2002-03-08,1.88,东2舍128
02200224,缪军,女,2002-01-18,1.51,西2舍129
02000226,张桂芝,男,2002-10-21,1.76,东2舍129
02200228,郭淑兰,女,2003-09-23,1.55,西2舍129
02000230,周阳,男,2003-07-23,1.75,东2舍129
02200232,陈丹丹,女,2003-02-05,1.65,西2舍130
02000234,毛海燕,男,2001-06-12,1.66,东2舍130
02200236,徐阳,女,2003-11-23,1.61,西2舍130
02000238,翟梅,男,2001-05-27,1.86,东2舍130
02200240,林畅,女,2003-05-13,1.69,西2舍131
02000242,陈玉英,男,2001-03-15,1.76,东2舍131
02200244,哈刚,女,2003-12-24,1.57,西2舍131
02000246,孙洋,男,2002-12-09,1.64,东2舍131
02200248,贾彬,女,2002-10-12,1.69,西2舍132
02000250,邹云,男,2003-08-11,1.84,东2舍132
02200252,谢建平,女,2001-09-09,1.72,西2舍132
02000254,林红,男,2003-05-03,1.69,东2舍132
02200256,司秀华,女,2003-03-16,1.57,西2舍133
02000258,王娟,男,2003-03-26,1.64,东2舍133
02200260,陈琴,女,2002-08-28,1.66,西2舍133
02000262,周莉,男,2001-01-29,1.64,东2舍133
02200264,罗坤,女,2001-03-08,1.59,西2舍134
02000266,唐海燕,男,2002-03-26,1.86,东2舍134
02200268,许桂花,女,2002-11-01,1.72,西2舍134
02000270,赵雪梅,男,2001-03-04,1.90,东2舍134
02200272,卫瑜,女,2002-01-07,1.56,西2舍135
02000274,吴健,男,2002-03-19,1.74,东2舍135
02200276,栾建华,女,2001-04-18,1.60,西2舍135
02000278,许鑫,男,2002-12-29,1.65,东2舍135
02200280,蒋海燕,女,2001-05-04,1.56,西2舍136
02000282,郭佳,男,2001-05-04,1.77,东2舍136
02200284,马兵,女,2002-06-01,1.69,西2舍136
02000286,吴淑兰,男,2002-05-11,1.82,东2舍136
02200288,陈秀荣,女,2001-08-05,1.80,西2舍137
02000290,张凯,男,2001-03-30,1.84,东2舍137
02200292,汪金凤,女,2002-05-23,1.72,西2舍137
02000294,黄浩,男,2003-08-23,1.61,东2舍137
02200296,郑晨,女,2002-10-03,1.74,西2舍138
02000298,胡兰英,男,2002-05-16,1.90,东2舍138
02200300,韩萍,女,2003-07-18,1.70,西2舍138
02000302,唐桂香,男,2002-08-01,1.64,东2舍138
02200304,刘华,女,2001-10-31,1.67,西2舍139
02000306,张丹丹,男,2003-10-18,1.81,东2舍139
02200308,戴淑珍,女,2003-10-28,1.53,西2舍139
02000310,刘斌,男,2001-08-16,1.79,东2舍139
02200312,李涛,女,2002-12-02,1.74,西2舍140
02000314,李帆,男,2002-11-14,1.63,东2舍140
02200316,姚凤英,女,2001-05-28,1.71,西2舍140
02000318,夏淑英,男,2002-04-17,1.75,东2舍140
02200320,李丹,女,2003-10-02,1.54,西2舍141
02000322,吴玉兰,男,2002-10-14,1.88,东2舍141
02200324,贾华,女,2002-12-12,1.50,西2舍141
02000326,郑桂芳,男,2003-12-06,1.67,东2舍141
02200328,陈利,女,2002-03-24,1.52,西2舍142
02000330,李建华,男,2001-03-06,1.88,东2舍142
02200332,李杰,女,2003-06-25,1.56,西2舍142
02000334,俞瑜,男,2002-09-09,1.87,东2舍142
02200336,李亮,女,2002-06-20,1.52,西2舍143
02000338,赵荣,男,2002-08-29,1.85,东2舍143
02200340,王凤兰,女,2001-03-30,1.59,西2舍143
02000342,郭建国,男,2003-02-27,1.79,东2舍143
02200344,冯金凤,女,2002-01-11,1.69,西2舍144
02000346,吴英,男,2002-12-22,1.68,东2舍144
02200348,苏伟,女,2002-08-06,1.65,西2舍144
02000350,鞠红霞,男,2003-03-13,1.81,东2舍144
02200352,马淑珍,女,2003-05-07,1.51,西2舍145
02000354,龚荣,男,2001-11-15,1.85,东2舍145
02200356,姜淑英,女,2002-07-20,1.56,西2舍145
02000358,秦小红,男,2001-09-22,1.84,东2舍145
02200360,徐斌,女,2002-12-18,1.53,西2舍146
02000362,陈琳,男,2001-12-26,1.85,东2舍146
02200364,张红梅,女,2002-06-13,1.58,西2舍146
02000366,钱红霞,男,2003-04-09,1.88,东2舍146
02200368,杨倩,女,2001-02-07,1.76,西2舍147
02000370,夏晨,男,2003-11-10,1.77,东2舍147
02200372,吴海燕,女,2001-02-28,1.51,西2舍147
02000374,王晶,男,2002-01-02,1.61,东2舍147
02200376,李帅,女,2002-08-01,1.65,西2舍148
02000378,罗金凤,男,2002-10-27,1.62,东2舍148
02200380,王丽,女,2002-05-04,1.73,西2舍148
02000382,李军,男,2003-07-15,1.69,东2舍148
02200384,戴英,女,2002-02-22,1.61,西2舍149
02000386,迟桂香,男,2002-07-10,1.66,东2舍149
02200388,董红,女,2003-08-26,1.50,西2舍149
02000390,曹波,男,2003-08-17,1.79,东2舍149
02200392,潘丽华,女,2003-12-06,1.73,西2舍150
02000394,曹桂芝,男,2002-10-07,1.63,东2舍150
02200396,方强,女,2003-12-23,1.54,西2舍150
02000398,向云,男,2001-04-22,1.73,东2舍150
02200400,邓帆,女,2003-04-05,1.65,西2舍151
02000402,吴敏,男,2001-03-24,1.73,东2舍151
02200404,陈超,女,2001-06-12,1.65,西2舍151
02000406,何强,男,2001-05-03,1.75,东2舍151
02200408,陈云,女,2001-09-02,1.63,西2舍152
02000410,郑倩,男,2001-11-08,1.60,东2舍152
02200412,蒋云,女,2003-08-21,1.76,西2舍152
02000414,毛旭,男,2002-11-14,1.76,东2舍152
02200416,李慧,女,2003-08-02,1.79,西2舍153
02000418,吴峰,男,2001-07-15,1.82,东2舍153
02200420,萧红,女,2002-02-26,1.78,西2舍153
02000422,梁凤英,男,2001-07-13,1.65,东2舍153
02200424,张兵,女,2003-08-28,1.72,西2舍154
02000426,韦琳,男,2003-08-30,1.78,东2舍154
02200428,李强,女,2001-10-13,1.56,西2舍154
02000430,张晶,男,2001-11-30,1.89,东2舍154
02200432,任雪,女,2002-08-08,1.78,西2舍155
02000434,萧海燕,男,2002-07-06,1.87,东2舍155
02200436,刘桂荣,女,2003-10-15,1.78,西2舍155
02000438,阮刚,男,2003-09-29,1.76,东2舍155
02200440,邓静,女,2002-02-10,1.71,西2舍156
02000442,孟瑜,男,2002-06-02,1.72,东2舍156
02200444,任鹏,女,2001-10-21,1.56,西2舍156
02000446,曾桂香,男,2003-12-08,1.81,东2舍156
02200448,樊博,女,2003-09-17,1.52,西2舍157
02000450,黄帆,男,2003-07-16,1.80,东2舍157
02200452,吴晨,女,2003-11-29,1.69,西2舍157
02000454,赵鑫,男,2002-10-29,1.79,东2舍157
02200456,陈凯,女,2003-08-02,1.58,西2舍158
02000458,马畅,男,2002-08-12,1.88,东2舍158
02200460,林洋,女,2002-08-23,1.50,西2舍158
02000462,马彬,男,2002-01-29,1.81,东2舍158
02200464,岳欢,女,2002-09-16,1.62,西2舍159
02000466,牛丹丹,男,2001-08-05,1.64,东2舍159
02200468,张超,女,2003-08-21,1.54,西2舍159
02000470,姚鹏,男,2002-04-13,1.71,东2舍159
02200472,姚海燕,女,2001-03-07,1.79,西2舍160
02000474,李玲,男,2003-05-03,1.67,东2舍160
02200476,金鑫,女,2003-10-11,1.63,西2舍160
02000478,张佳,男,2003-10-13,1.89,东2舍160
02200480,张浩,女,2003-05-04,1.65,西2舍161
02000482,周雪梅,男,2003-01-19,1.61,东2舍161
02200484,张帅,女,2002-07-21,1.80,西2舍161
02000486,宋佳,男,2002-08-28,1.88,东2舍161
02200488,王淑珍,女,2002-05-25,1.57,西2舍162
02000490,毛欣,男,2003-07-05,1.71,东2舍162
02200492,刘雪,女,2001-05-26,1.66,西2舍162
02000494,李丽,男,2001-04-05,1.65,东2舍162
02200496,林丽华,女,2002-09-11,1.73,西2舍163
02000498,林玉华,男,2001-07-30,1.82,东2舍163
02200500,朱桂花,女,2003-08-22,1.61,西2舍163
02000502,梁峰,男,2001-02-14,1.89,东2舍163
02200504,张明,女,2002-07-12,1.62,西2舍164
02000506,张杰,男,2002-06-23,1.66,东2舍164
02200508,陈桂兰,女,2001-05-08,1.79,西2舍164
02000510,赵红霞,男,2001-02-04,1.79,东2舍164
02200512,赵峰,女,2003-07-23,1.69,西2舍165
02000514,颜桂荣,男,2001-12-22,1.63,东2舍165
02200516,张倩,女,2001-11-03,1.60,西2舍165
02000518,黎秀梅,男,2003-01-20,1.86,东2舍165
02200520,万伟,女,2003-05-12,1.70,西2舍166
02000522,班彬,男,2001-08-29,1.64,东2舍166
02200524,牛桂荣,女,2003-07-16,1.61,西2舍166
02000526,向帅,男,2001-03-14,1.60,东2舍166
02200528,钟秀梅,女,2002-10-29,1.63,西2舍167
02000530,古玉华,男,2003-01-11,1.83,东2舍167
02200532,冯旭,女,2002-07-21,1.55,西2舍167
02000534,王雪梅,男,2001-06-05,1.79,东2舍167
02200536,甘燕,女,2002-11-05,1.54,西2舍168
02000538,刘明,男,2002-11-28,1.65,东2舍168
02200540,黄凤英,女,2003-01-07,1.53,西2舍168
02000542,张凯,男,2002-12-07,1.70,东2舍168
02200544,易文,女,2001-09-15,1.73,西2舍169
02000546,颜秀云,男,2003-11-03,1.81,东2舍169
02200548,李柳,女,2001-01-28,1.66,西2舍169
02000550,黎平,男,2002-08-26,1.65,东2舍169
02200552,张宇,女,2002-06-23,1.60,西2舍170
02000554,陈桂荣,男,2001-09-16,1.78,东2舍170
02200556,尤小红,女,2002-05-30,1.52,西2舍170
02000558,萧琳,男,2003-09-26,1.89,东2舍170
02200560,王刚,女,2001-01-08,1.65,西2舍171
02000562,刘辉,男,2003-07-06,1.80,东2舍171
02200564,林斌,女,2001-03-24,1.74,西2舍171
02000566,常军,男,2003-10-24,1.89,东2舍171
02200568,刘桂兰,女,2001-11-07,1.70,西2舍172
02000570,陈飞,男,2002-02-07,1.89,东2舍172
02200572,董文,女,2003-09-03,1.63,西2舍172
02000574,孔凤英,男,2003-07-19,1.82,东2舍172
02200576,魏瑜,女,2003-03-17,1.57,西2舍173
02000578,张娜,男,2003-07-24,1.78,东2舍173
02200580,刘欣,女,2003-06-24,1.57,西2舍173
02000582,赵秀云,男,2002-04-23,1.63,东2舍173
02200584,马志强,女,2002-03-05,1.71,西2舍174
02000586,王强,男,2001-06-21,1.78,东2舍174
02200588,周金凤,女,2001-09-26,1.67,西2舍174
02000590,王瑜,男,2002-08-01,1.79,东2舍174
02200592,张俊,女,2001-08-26,1.61,西2舍175
02000594,王秀华,男,2002-12-05,1.62,东2舍175
02200596,杨桂芝,女,2001-09-22,1.52,西2舍175
02000598,张健,男,2001-11-25,1.69,东2舍175
02200600,黄成,女,2001-10-01,1.71,西2舍176
02000602,田畅,男,2003-11-30,1.68,东2舍176
02200604,陈伟,女,2003-11-03,1.53,西2舍176
02000606,梁莉,男,2001-01-20,1.64,东2舍176
02200608,李洋,女,2003-03-30,1.54,西2舍177
02000610,党宇,男,2003-11-29,1.83,东2舍177
02200612,陈玉,女,2003-01-05,1.59,西2舍177
02000614,马桂珍,男,2003-05-01,1.86,东2舍177
02200616,陈芳,女,2003-07-16,1.74,西2舍178
02000618,李波,男,2001-05-25,1.85,东2舍178
02200620,洪彬,女,2001-02-26,1.71,西2舍178
02000622,张旭,男,2003-05-09,1.64,东2舍178
02200624,曹辉,女,2002-03-05,1.58,西2舍179
02000626,周英,男,2003-04-09,1.75,东2舍179
02200628,张琴,女,2003-03-07,1.50,西2舍179
02000630,廖秀兰,男,2001-01-09,1.85,东2舍179
02200632,翟红,女,2001-05-21,1.64,西2舍180
02000634,赵峰,男,2001-01-16,1.80,东2舍180
02200636,范秀荣,女,2002-08-18,1.59,西2舍180
02000638,杨明,男,2002-12-24,1.64,东2舍180
02200640,史楠,女,2002-10-28,1.55,西2舍181
02000642,李玉珍,男,2001-09-19,1.77,东2舍181
02200644,王雪,女,2002-09-25,1.56,西2舍181
02000646,谢文,男,2002-01-11,1.69,东2舍181
02200648,邓帅,女,2001-05-23,1.75,西2舍182
02000650,张敏,男,2003-06-09,1.89,东2舍182
02200652,牛芳,女,2001-11-14,1.52,西2舍182
02000654,马飞,男,2001-10-02,1.90,东2舍182
02200656,谢丽华,女,2002-12-29,1.73,西2舍183
02000658,孙英,男,2001-06-02,1.72,东2舍183
02200660,杨荣,女,2002-04-27,1.56,西2舍183
02000662,陈凤兰,男,2001-06-16,1.76,东2舍183
02200664,李鹏,女,2003-06-22,1.52,西2舍184
02000666,王萍,男,2003-08-04,1.80,东2舍184
02200668,魏丽华,女,2002-10-19,1.51,西2舍184
02000670,方明,男,2001-06-23,1.69,东2舍184
02200672,吴博,女,2001-05-12,1.70,西2舍185
02000674,李桂兰,男,2003-12-10,1.69,东2舍185
02200676,黄刚,女,2002-12-29,1.79,西2舍185
02000678,薛丹丹,男,2001-02-27,1.66,东2舍185
02200680,冷秀华,女,2002-08-08,1.64,西2舍186
02000682,史丽丽,男,2001-07-03,1.76,东2舍186
02200684,陈丽丽,女,2002-09-02,1.65,西2舍186
02000686,张秀芳,男,2003-10-14,1.63,东2舍186
02200688,王桂荣,女,2002-08-03,1.65,西2舍187
02000690,祁红霞,男,2001-10-31,1.77,东2舍187
02200692,高凤兰,女,2001-12-26,1.61,西2舍187
02000694,朱俊,男,2003-04-19,1.70,东2舍187
02200696,王秀华,女,2003-08-12,1.73,西2舍188
02000698,张芳,男,2003-05-26,1.87,东2舍188
02200700,左海燕,女,2001-12-03,1.74,西2舍188
02000702,孔华,男,2001-04-25,1.62,东2舍188
02200704,马莹,女,2003-03-27,1.50,西2舍189
02000706,李峰,男,2002-02-15,1.71,东2舍189
02200708,薛秀珍,女,2003-03-28,1.74,西2舍189
02000710,赵桂兰,男,2001-07-15,1.87,东2舍189
02200712,韦建华,女,2003-08-09,1.50,西2舍190
02000714,唐娜,男,2003-08-20,1.76,东2舍190
02200716,易欢,女,2003-08-06,1.61,西2舍190
02000718,黄婷,男,2001-12-04,1.86,东2舍190
02200720,宋玉珍,女,2002-02-09,1.63,西2舍191
02000722,张晶,男,2003-07-03,1.69,东2舍191
02200724,丁丽,女,2002-08-11,1.75,西2舍191
02000726,童桂香,男,2001-01-29,1.81,东2舍191
02200728,张丽,女,2003-11-17,1.68,西2舍192
02000730,金桂芝,男,2003-09-09,1.75,东2舍192
02200732,米宇,女,2003-01-08,1.78,西2舍192
02000734,马瑞,男,2001-08-21,1.73,东2舍192
02200736,边勇,女,2003-12-21,1.63,西2舍193
02000738,陈玉梅,男,2002-03-07,1.85,东2舍193
02200740,蒋波,女,2002-04-12,1.70,西2舍193
02000742,赵建华,男,2001-03-24,1.73,东2舍193
02200744,季岩,女,2002-03-08,1.71,西2舍194
02000746,刘洋,男,2002-03-10,1.75,东2舍194
02200748,卢秀英,女,2003-10-30,1.60,西2舍194
02000750,姚凤兰,男,2002-08-07,1.69,东2舍194
02200752,侯敏,女,2003-11-22,1.66,西2舍195
02000754,杨英,男,2001-04-07,1.71,东2舍195
02200756,田艳,女,2001-11-16,1.65,西2舍195
02000758,王彬,男,2003-04-06,1.75,东2舍195
02200760,刘阳,女,2003-07-24,1.77,西2舍196
02000762,关峰,男,2003-08-22,1.66,东2舍196
02200764,张瑞,女,2003-05-06,1.76,西2舍196
02000766,陆洋,男,2001-11-29,1.89,东2舍196
02200768,戎雷,女,2003-01-19,1.50,西2舍197
02000770,王玉,男,2003-03-29,1.61,东2舍197
02200772,谢桂花,女,2001-03-27,1.62,西2舍197
02000774,乔志强,男,2002-07-10,1.90,东2舍197
02200776,芦丽娟,女,2003-04-16,1.75,西2舍198
02000778,李佳,男,2001-09-06,1.67,东2舍198
02200780,廖桂荣,女,2001-08-25,1.77,西2舍198
02000782,张琳,男,2001-11-10,1.78,东2舍198
02200784,赵海燕,女,2001-12-26,1.50,西2舍199
02000786,白飞,男,2002-05-10,1.68,东2舍199
02200788,王玉华,女,2002-03-24,1.63,西2舍199
02000790,张霞,男,2001-11-06,1.73,东2舍199
02200792,吴婷婷,女,2003-01-31,1.63,西2舍200
02000794,王磊,男,2003-07-07,1.88,东2舍200
02200796,赵柳,女,2001-07-29,1.76,西2舍200
02000798,王玉珍,男,2003-11-05,1.72,东2舍200
02200800,周雪,女,2001-04-20,1.53,西2舍201
02000802,纪丽丽,男,2003-07-01,1.78,东2舍201
02200804,袁丹,女,2001-11-28,1.59,西2舍201
02000806,王亮,男,2001-06-02,1.89,东2舍201
02200808,高荣,女,2003-11-25,1.60,西2舍202
02000810,徐博,男,2003-11-25,1.67,东2舍202
02200812,董凤英,女,2001-07-29,1.71,西2舍202
02000814,杨波,男,2003-04-03,1.79,东2舍202
02200816,刘秀云,女,2002-09-20,1.64,西2舍203
02000818,赵健,男,2001-07-15,1.72,东2舍203
02200820,仇柳,女,2001-05-27,1.62,西2舍203
02000822,丁秀芳,男,2003-10-21,1.75,东2舍203
02200824,王璐,女,2002-05-27,1.79,西2舍204
02000826,师宇,男,2002-07-05,1.77,东2舍204
02200828,徐博,女,2003-01-18,1.73,西2舍204
02000830,车红梅,男,2003-01-07,1.80,东2舍204
02200832,杨强,女,2003-12-18,1.78,西2舍205
02000834,陈春梅,男,2001-10-15,1.79,东2舍205
02200836,朱宁,女,2003-11-03,1.56,西2舍205
02000838,孙玉兰,男,2002-06-03,1.88,东2舍205
02200840,蒋丽华,女,2002-12-27,1.69,西2舍206
02000842,郑瑞,男,2001-02-13,1.64,东2舍206
02200844,杨旭,女,2002-11-11,1.58,西2舍206
02000846,陈雷,男,2003-08-26,1.64,东2舍206
02200848,钟建军,女,2002-06-04,1.61,西2舍207
02000850,马雷,男,2002-09-10,1.66,东2舍207
02200852,彭俊,女,2003-12-11,1.63,西2舍207
02000854,张兵,男,2002-10-12,1.79,东2舍207
02200856,温成,女,2003-07-02,1.75,西2舍208
02000858,贾帆,男,2001-03-29,1.78,东2舍208
02200860,杨想,女,2003-03-22,1.74,西2舍208
02000862,马佳,男,2002-10-31,1.68,东2舍208
02200864,岳琳,女,2003-02-10,1.79,西2舍209
02000866,薛林,男,2001-01-01,1.61,东2舍209
02200868,曹晶,女,2002-08-25,1.78,西2舍209
02000870,胡辉,男,2003-09-25,1.84,东2舍209
02200872,李飞,女,2003-02-01,1.73,西2舍210
02000874,安文,男,2003-05-25,1.64,东2舍210
02200876,张桂香,女,2003-10-02,1.78,西2舍210
02000878,王云,男,2001-07-05,1.75,东2舍210
02200880,刘丽娟,女,2002-11-28,1.56,西2舍211
02000882,王雷,男,2002-10-20,1.72,东2舍211
02200884,李雷,女,2001-08-07,1.66,西2舍211
02000886,刘丽华,男,2001-02-09,1.68,东2舍211
02200888,刘玉梅,女,2002-01-25,1.52,西2舍212
02000890,汪桂芳,男,2002-02-28,1.69,东2舍212
02200892,刘建国,女,2001-09-02,1.67,西2舍212
02000894,徐婷,男,2001-03-16,1.73,东2舍212
02200896,邬秀兰,女,2003-01-14,1.73,西2舍213
02000898,谢瑞,男,2003-07-09,1.75,东2舍213
02200900,吕平,女,2001-01-15,1.51,西2舍213
02000902,李秀兰,男,2002-09-06,1.64,东2舍213
02200904,赖楠,女,2003-08-08,1.73,西2舍214
02000906,王凤英,男,2002-10-26,1.70,东2舍214
02200908,张玉兰,女,2002-12-25,1.80,西2舍214
02000910,樊畅,男,2003-04-19,1.87,东2舍214
02200912,丁刚,女,2002-09-02,1.75,西2舍215
02000914,林桂芝,男,2001-05-11,1.62,东2舍215
02200916,钟秀英,女,2001-02-19,1.71,西2舍215
02000918,朴丽丽,男,2002-04-07,1.68,东2舍215
02200920,张超,女,2002-10-28,1.78,西2舍216
02000922,王磊,男,2003-06-07,1.70,东2舍216
02200924,刘慧,女,2001-08-21,1.66,西2舍216
02000926,李东,男,2003-01-13,1.75,东2舍216
02200928,李春梅,女,2002-05-16,1.52,西2舍217
02000930,梁红,男,2001-02-22,1.67,东2舍217
02200932,杨淑英,女,2002-10-12,1.76,西2舍217
02000934,韦辉,男,2002-07-18,1.66,东2舍217
02200936,骆瑜,女,2003-06-22,1.58,西2舍218
02000938,展小红,男,2002-11-17,1.63,东2舍218
02200940,吴雷,女,2003-02-26,1.58,西2舍218
02000942,牛婷婷,男,2003-01-19,1.84,东2舍218
02200944,王桂荣,女,2002-07-14,1.53,西2舍219
02000946,李婷,男,2001-07-25,1.73,东2舍219
02200948,兰晨,女,2003-10-28,1.61,西2舍219
02000950,张玉英,男,2001-04-23,1.82,东2舍219
02200952,丁丽,女,2001-06-04,1.72,西2舍220
02000954,钟荣,男,2003-08-12,1.77,东2舍220
02200956,朱敏,女,2001-02-11,1.56,西2舍220
02000958,周秀华,男,2003-02-05,1.78,东2舍220
02200960,赵伟,女,2001-10-27,1.69,西2舍221
02000962,章凤兰,男,2003-01-25,1.82,东2舍221
02200964,江杰,女,2001-01-20,1.80,西2舍221
02000966,朱健,男,2003-01-03,1.85,东2舍221
02200968,张桂芝,女,2003-08-03,1.57,西2舍222
02000970,方海燕,男,2002-02-13,1.89,东2舍222
02200972,王浩,女,2001-08-17,1.58,西2舍222
02000974,崔平,男,2003-10-17,1.71,东2舍222
02200976,汤琴,女,2002-05-25,1.76,西2舍223
02000978,李丽丽,男,2002-05-28,1.60,东2舍223
02200980,蒋红,女,2001-01-31,1.66,西2舍223
02000982,缪冬梅,男,2002-08-24,1.62,东2舍223
02200984,石兵,女,2001-05-17,1.66,西2舍224
02000986,陈浩,男,2001-04-18,1.67,东2舍224
02200988,王婷婷,女,2002-08-19,1.52,西2舍224
02000990,叶鑫,男,2001-03-27,1.74,东2舍224
02200992,杨玲,女,2001-01-29,1.60,西2舍225
02000994,李洁,男,2003-05-09,1.72,东2舍225
